#                        id   b      mag     nPix_g     nPix_s       sky    skyErr_s   skyStdErr_s    magErr_r    magErr_s    magErr_t    delMag_p    delMag_m
NGVSJ12:27:37.45+12:22:40.9   I   21.566       5233      41808     0.890   1.019e-01     5.096e-02   6.810e-02   1.693e-03   1.245e-01   1.161e-01   1.300e-01
NGVSJ12:27:37.45+12:22:40.9   Z   20.794       3637      42513    16.500   4.578e-01     2.289e-01   7.673e-02   3.114e-03   1.885e-01   1.732e-01   2.062e-01
NGVSJ12:27:39.24+12:52:47.6   U   18.139     319309     262360     0.410   5.202e-02     2.601e-02   6.971e-03   2.875e-04   1.625e-01   1.514e-01   1.760e-01
NGVSJ12:27:39.24+12:52:47.6   G   17.224     319309     262359     0.823   6.584e-03     3.292e-03   2.581e-03   1.566e-05   9.353e-03   8.815e-03   8.887e-03
NGVSJ12:27:39.24+12:52:47.6   R   16.734     263873     262356     1.309   2.247e-02     1.124e-02   2.306e-03   3.095e-05   1.608e-02   1.578e-02   1.601e-02
NGVSJ12:27:39.24+12:52:47.6   I   16.575     218109     262325     2.650   7.573e-02     3.787e-02   4.108e-03   8.191e-05   3.832e-02   3.759e-02   3.894e-02
NGVSJ12:27:39.24+12:52:47.6   Z   16.059     467479     262322     4.700   8.287e-02     4.143e-02   6.450e-03   8.157e-05   5.580e-02   5.439e-02   5.726e-02
NGVSJ12:27:40.49+13:04:44.3   U   12.290    8854287    6297095     0.435   2.110e-02     1.055e-02   1.681e-04   2.808e-06   8.363e-03   8.325e-03   8.389e-03
NGVSJ12:27:40.49+13:04:44.3   G   10.950    8854287    6548269     1.100   5.088e-02     2.544e-02   6.470e-05   1.972e-06   5.870e-03   5.851e-03   5.883e-03
NGVSJ12:27:40.49+13:04:44.3   R   10.264    7317529    6632086     0.847   3.113e-02     1.557e-02   6.144e-05   5.831e-07   1.582e-03   1.576e-03   1.578e-03
NGVSJ12:27:40.49+13:04:44.3   I    9.937    7317529    6381707     2.500   8.419e-02     4.210e-02   7.104e-05   1.167e-06   3.158e-03   3.151e-03   3.160e-03
NGVSJ12:27:40.49+13:04:44.3   Z    9.748    4997943    6488330     4.500   5.555e-01     2.777e-01   7.764e-05   5.345e-06   1.195e-02   1.188e-02   1.202e-02
NGVSJ12:27:41.24+12:18:57.2   U   14.932     153207    4803843     0.311   6.413e-02     3.207e-02   2.335e-04   1.280e-05   5.119e-03   4.999e-03   5.022e-03
NGVSJ12:27:41.24+12:18:57.2   G   13.556     885933    4250994     0.329   4.467e-02     2.234e-02   1.453e-04   6.037e-06   5.710e-03   5.668e-03   5.698e-03
NGVSJ12:27:41.24+12:18:57.2   R   12.932    2297957    4156533     0.378   1.023e-01     5.115e-02   1.950e-04   1.253e-05   1.900e-02   1.883e-02   1.917e-02
NGVSJ12:27:41.24+12:18:57.2   I   12.650     500083    4738108     0.492   8.972e-02     4.486e-02   1.536e-04   3.955e-06   2.821e-03   2.793e-03   2.800e-03
NGVSJ12:27:41.24+12:18:57.2   Z   12.653      93431    1471690    -0.748   8.248e-01     4.124e-01   1.642e-04   1.576e-05   4.831e-03   4.806e-03   4.827e-03
NGVSJ12:27:41.67+12:29:16.3   U   20.838       7731     142839     0.251   6.752e-03     3.376e-03   1.077e-02   6.973e-05   1.711e-02   6.114e-03   6.149e-03
NGVSJ12:27:41.67+12:29:16.3   G   19.695      16015     138079     0.026   4.616e-02     2.308e-02   5.143e-03   2.394e-04   3.173e-02   2.988e-02   3.073e-02
NGVSJ12:27:41.67+12:29:16.3   R   19.164      16015     139701    -0.074   5.064e-02     2.532e-02   4.901e-03   1.611e-04   2.168e-02   2.019e-02   2.058e-02
NGVSJ12:27:41.67+12:29:16.3   I   19.101       7731     143116     2.464   3.586e-02     1.793e-02   7.639e-03   7.480e-05   9.734e-03   6.557e-03   6.596e-03
NGVSJ12:27:41.67+12:29:16.3   Z   19.054       5369     145411     6.532   7.215e-02     3.608e-02   9.991e-03   1.201e-04   1.126e-02   8.764e-03   8.835e-03
NGVSJ12:27:42.11+12:05:22.7   U   16.981      78663     106832     3.200   3.550e-01     1.775e-01   1.385e-03   3.352e-04   9.404e-02   9.015e-02   9.832e-02
NGVSJ12:27:42.11+12:05:22.7   G   16.103      78663     106832     4.300   1.515e-01     7.576e-02   5.105e-04   6.372e-05   1.796e-02   1.773e-02   1.802e-02
NGVSJ12:27:42.11+12:05:22.7   R   15.833      11699     105575     8.010   3.210e-01     1.605e-01   2.608e-04   4.059e-05   4.670e-03   4.381e-03   4.399e-03
NGVSJ12:27:42.11+12:05:22.7   I   15.338      65001     106825     4.800   9.678e-02     4.839e-02   7.234e-04   1.829e-05   4.832e-03   4.652e-03   4.672e-03
NGVSJ12:27:42.11+12:05:22.7   Z   15.325      44439     106832    25.500   3.126e-01     1.563e-01   1.650e-03   4.825e-05   1.025e-02   1.012e-02   1.022e-02
NGVSJ12:27:43.43+11:58:04.6   U   21.193      14391      80370     0.500   2.739e-02     1.370e-02   2.705e-02   5.352e-04   6.691e-02   6.238e-02   6.619e-02
NGVSJ12:27:43.43+11:58:04.6   G   19.866      25499      71292     1.250   6.057e-02     3.028e-02   8.064e-03   4.641e-04   7.480e-02   7.169e-02   7.676e-02
NGVSJ12:27:43.43+11:58:04.6   R   19.274      37331      71504     1.528   4.874e-02     2.437e-02   8.687e-03   2.619e-04   5.120e-02   4.946e-02   5.183e-02
NGVSJ12:27:43.43+11:58:04.6   I   19.179      25499      73126     2.350   1.494e-01     7.470e-02   1.424e-02   6.080e-04   9.737e-02   9.299e-02   1.017e-01
NGVSJ12:27:43.43+11:58:04.6   Z   19.055      17425      73437     6.710   4.729e-01     2.364e-01   2.970e-02   1.419e-03   1.875e-01   1.728e-01   2.056e-01
NGVSJ12:27:44.39+12:33:25.9   U   21.720      15611      28306     0.170   1.955e-02     9.774e-03   3.433e-02   6.464e-04   8.425e-02   7.790e-02   8.393e-02
NGVSJ12:27:44.39+12:33:25.9   G   20.522      27633      28306     0.070   4.092e-02     2.046e-02   1.447e-02   5.972e-04   1.002e-01   9.500e-02   1.041e-01
NGVSJ12:27:44.39+12:33:25.9   R   19.935      40453      28306     0.180   7.608e-02     3.804e-02   1.583e-02   7.824e-04   1.577e-01   1.470e-01   1.700e-01
NGVSJ12:27:44.39+12:33:25.9   I   19.873      27633      28306     2.276   3.308e-02     1.654e-02   2.930e-02   2.656e-04   4.532e-02   4.327e-02   4.507e-02
NGVSJ12:27:44.39+12:33:25.9   Z   19.529      33455      28306     5.250   1.298e-01     6.492e-02   3.846e-02   8.355e-04   1.531e-01   1.430e-01   1.647e-01
NGVSJ12:27:44.52+12:59:01.3   U   16.593     127519      51319     1.900   2.065e-01     1.032e-01   1.152e-03   1.736e-04   6.203e-02   6.029e-02   6.383e-02
NGVSJ12:27:44.52+12:59:01.3   G   15.454     127519      51074     5.500   6.233e-01     3.117e-01   3.923e-04   1.836e-04   6.557e-02   6.365e-02   6.761e-02
NGVSJ12:27:44.52+12:59:01.3   R   14.761     127519      51077     9.000   6.796e-01     3.398e-01   3.013e-04   1.057e-04   3.776e-02   3.711e-02   3.842e-02
NGVSJ12:27:44.52+12:59:01.3   I   14.543     127519      51117    13.000   1.353e+00     6.765e-01   5.379e-04   1.722e-04   6.149e-02   5.980e-02   6.329e-02
NGVSJ12:27:44.52+12:59:01.3   Z   14.339     127519      51180    17.000   1.212e+00     6.062e-01   7.388e-04   1.279e-04   4.567e-02   4.472e-02   4.665e-02
NGVSJ12:27:45.42+12:52:22.5   U   18.861     129129     384103     0.500   3.334e-02     1.667e-02   8.321e-03   2.278e-04   8.212e-02   7.893e-02   8.512e-02
NGVSJ12:27:45.42+12:52:22.5   G   18.032      72859     384100     0.744   1.261e-02     6.306e-03   8.450e-03   3.017e-05   9.249e-03   8.112e-03   8.173e-03
NGVSJ12:27:45.42+12:52:22.5   R   17.491     106705     384098     1.500   6.983e-02     3.492e-02   2.797e-03   1.228e-04   4.026e-02   3.940e-02   4.088e-02
NGVSJ12:27:45.42+12:52:22.5   I   17.377      72859     384097     2.468   4.973e-02     2.486e-02   4.782e-03   6.506e-05   1.786e-02   1.742e-02   1.771e-02
NGVSJ12:27:45.42+12:52:22.5   Z   17.131      88193     384100     4.700   8.954e-02     4.477e-02   6.993e-03   1.028e-04   3.065e-02   3.009e-02   3.095e-02
NGVSJ12:27:45.65+13:00:31.9   U   11.841    8156983   21376459     0.433   1.097e-02     5.485e-03   1.107e-04   9.269e-07   2.659e-03   2.644e-03   2.651e-03
NGVSJ12:27:45.65+13:00:31.9   G   10.626    6741289   21375221     1.000   5.734e-02     2.867e-02   3.202e-05   1.438e-06   3.738e-03   3.728e-03   3.741e-03
NGVSJ12:27:45.65+13:00:31.9   R    9.886    8156983   21372048     0.934   3.977e-02     1.989e-02   2.594e-05   5.552e-07   1.589e-03   1.585e-03   1.587e-03
NGVSJ12:27:45.65+13:00:31.9   I    9.549    8156983   21374873     2.581   7.625e-02     3.812e-02   4.222e-05   7.803e-07   2.230e-03   2.226e-03   2.231e-03
NGVSJ12:27:45.65+13:00:31.9   Z    9.162    8156983   21374691     2.923   1.096e-01     5.482e-02   4.926e-05   7.857e-07   2.245e-03   2.242e-03   2.246e-03
NGVSJ12:27:46.47+11:44:28.9   U   20.627      36325      74801     0.250   2.855e-02     1.428e-02   2.688e-02   5.263e-04   1.013e-01   9.594e-02   1.052e-01
NGVSJ12:27:46.47+11:44:28.9   G   19.529      36325      74800     0.541   2.118e-02     1.059e-02   8.194e-03   1.420e-04   2.844e-02   2.674e-02   2.741e-02
NGVSJ12:27:46.47+11:44:28.9   R   18.983      43945      74789     0.560   9.920e-02     4.960e-02   8.551e-03   4.424e-04   9.299e-02   8.900e-02   9.695e-02
NGVSJ12:27:46.47+11:44:28.9   I   18.786      24823      74763     2.400   1.007e-01     5.035e-02   1.151e-02   2.816e-04   4.479e-02   4.348e-02   4.529e-02
NGVSJ12:27:46.47+11:44:28.9   Z   18.687      20521      74789    13.400   1.056e-01     5.282e-02   2.805e-02   2.451e-04   3.561e-02   3.456e-02   3.570e-02
NGVSJ12:27:49.49+12:29:58.7   U   20.195      95335      80388     0.288   3.044e-02     1.522e-02   2.077e-02   6.106e-04   1.889e-01   1.738e-01   2.071e-01
NGVSJ12:27:49.49+12:29:58.7   G   19.438     115317      63554     0.055   2.516e-02     1.258e-02   1.100e-02   2.764e-04   9.424e-02   9.002e-02   9.817e-02
NGVSJ12:27:49.49+12:29:58.7   R   18.914     115317      67220     0.117   6.611e-02     3.305e-02   1.063e-02   4.482e-04   1.523e-01   1.424e-01   1.640e-01
NGVSJ12:27:49.49+12:29:58.7   I   18.606     115317      67605     2.367   1.982e-01     9.910e-02   1.875e-02   1.012e-03   3.437e-01   2.986e-01   4.132e-01
NGVSJ12:27:49.49+12:29:58.7   Z   18.196     115317      62784     5.817   2.397e-01     1.199e-01   2.093e-02   8.390e-04   2.849e-01   2.530e-01   3.304e-01
NGVSJ12:27:53.17+12:22:58.8   U   21.956       4167      33653     0.328   2.344e-02     1.172e-02   2.621e-02   4.976e-04   4.178e-02   3.165e-02   3.261e-02
NGVSJ12:27:53.17+12:22:58.8   G   20.835       8629      32710     1.860   3.375e-02     1.687e-02   1.181e-02   3.672e-04   3.766e-02   3.359e-02   3.466e-02
NGVSJ12:27:53.17+12:22:58.8   R   20.348       8629      32456     1.526   1.057e-01     5.286e-02   1.139e-02   7.345e-04   6.941e-02   6.617e-02   7.047e-02
NGVSJ12:27:53.17+12:22:58.8   I   20.034      12401      32965     1.754   1.212e-01     6.062e-02   2.215e-02   7.563e-04   8.494e-02   8.111e-02   8.767e-02
NGVSJ12:27:53.17+12:22:58.8   Z   20.122       4167      34155    18.116   1.869e-01     9.345e-02   3.812e-02   7.328e-04   4.868e-02   4.630e-02   4.837e-02
NGVSJ12:27:53.42+12:58:22.9   U   22.776       2773      36679     0.788   2.518e-02     1.259e-02   4.546e-02   9.280e-04   6.252e-02   4.780e-02   5.000e-02
NGVSJ12:27:53.42+12:58:22.9   G   21.981       2773      35339     1.948   3.656e-02     1.828e-02   2.001e-02   6.479e-04   4.353e-02   3.359e-02   3.467e-02
NGVSJ12:27:53.42+12:58:22.9   R   21.557       2773      35421     3.434   5.382e-02     2.691e-02   2.027e-02   6.456e-04   4.062e-02   3.347e-02   3.454e-02
NGVSJ12:27:53.42+12:58:22.9   I   21.214       3985      36505     4.900   1.091e-01     5.456e-02   4.044e-02   1.144e-03   7.467e-02   6.991e-02   7.473e-02
NGVSJ12:27:53.42+12:58:22.9   Z   21.376       1919      36966     9.000   3.866e-01     1.933e-01   5.553e-02   3.265e-03   1.445e-01   1.344e-01   1.534e-01
NGVSJ12:27:53.57+12:17:35.8   U   13.510    4491215    3466672     0.370   5.504e-02     2.752e-02   4.238e-04   1.605e-05   3.403e-02   3.350e-02   3.457e-02
NGVSJ12:27:53.57+12:17:35.8   G   12.190    3067563    3463627     1.600   5.814e-02     2.907e-02   1.061e-04   4.155e-06   7.283e-03   7.253e-03   7.302e-03
NGVSJ12:27:53.57+12:17:35.8   R   11.477    3711777    3460731     1.100   1.047e-01     5.233e-02   1.140e-04   4.267e-06   8.223e-03   8.189e-03   8.252e-03
NGVSJ12:27:53.57+12:17:35.8   I   11.104    6575629    3464186     1.400   1.165e-01     5.825e-02   1.691e-04   4.483e-06   1.150e-02   1.144e-02   1.156e-02
NGVSJ12:27:53.57+12:17:35.8   Z   10.742    2095171    3467636    11.000   1.608e+00     8.041e-01   1.833e-04   2.503e-05   3.623e-02   3.564e-02   3.685e-02
NGVSJ12:27:54.56+12:36:16.2   U   20.523      12687     130731     0.086   4.193e-02     2.097e-02   1.029e-02   4.151e-04   4.875e-02   4.577e-02   4.779e-02
NGVSJ12:27:54.56+12:36:16.2   G   19.489      53975     142086     0.101   2.248e-02     1.124e-02   7.800e-03   1.771e-04   4.203e-02   4.038e-02   4.194e-02
NGVSJ12:27:54.56+12:36:16.2   R   18.995      36877     134197     0.214   2.187e-02     1.093e-02   6.380e-03   9.034e-05   1.865e-02   1.721e-02   1.749e-02
NGVSJ12:27:54.56+12:36:16.2   I   18.833      12687     135745     2.402   1.904e-01     9.518e-02   7.697e-03   3.973e-04   4.520e-02   4.385e-02   4.570e-02
NGVSJ12:27:54.56+12:36:16.2   Z   18.643      27441     131943     3.328   3.948e-02     1.974e-02   1.549e-02   1.017e-04   1.783e-02   1.673e-02   1.699e-02
NGVSJ12:27:55.22+12:22:09.5   U   17.317     815475     972956     0.227   1.594e-02     7.968e-03   5.102e-03   6.600e-05   5.969e-02   5.802e-02   6.130e-02
NGVSJ12:27:55.22+12:22:09.5   G   16.233     815475     972954     1.570   3.377e-02     1.689e-02   1.654e-03   5.154e-05   4.659e-02   4.558e-02   4.757e-02
NGVSJ12:27:55.22+12:22:09.5   R   15.705     815475     972932     1.065   8.699e-03     4.349e-03   1.536e-03   8.163e-06   7.523e-03   7.347e-03   7.397e-03
NGVSJ12:27:55.22+12:22:09.5   I   15.453     815475     972888     1.251   5.846e-02     2.923e-02   2.640e-03   4.350e-05   3.930e-02   3.859e-02   4.001e-02
NGVSJ12:27:55.22+12:22:09.5   Z   15.711     673955     972943    16.700   2.225e-01     1.112e-01   8.341e-03   1.908e-04   1.567e-01   1.463e-01   1.692e-01
NGVSJ12:28:00.33+11:30:34.7   U   21.521       2751      46107     0.199   2.396e-02     1.198e-02   1.987e-02   2.769e-04   2.625e-02   1.442e-02   1.462e-02
NGVSJ12:28:00.33+11:30:34.7   G   20.272      17921      40628    -0.063   4.556e-02     2.278e-02   1.201e-02   4.254e-04   5.826e-02   5.550e-02   5.849e-02
NGVSJ12:28:00.33+11:30:34.7   R   19.754      26241      41791    -0.487   4.107e-02     2.054e-02   1.469e-02   2.879e-04   4.764e-02   4.567e-02   4.768e-02
NGVSJ12:28:00.33+11:30:34.7   I   19.427      38411      40059     1.553   6.099e-02     3.050e-02   2.750e-02   3.828e-04   7.549e-02   7.255e-02   7.775e-02
NGVSJ12:28:00.33+11:30:34.7   Z   19.225      13991      32903    21.391   2.261e-01     1.131e-01   4.003e-02   7.112e-04   8.447e-02   8.102e-02   8.756e-02
NGVSJ12:28:00.44+11:56:59.6   U   18.819      14705     446737     0.627   3.311e-02     1.656e-02   3.156e-03   7.345e-05   1.091e-02   8.871e-03   8.944e-03
NGVSJ12:28:00.44+11:56:59.6   G   17.684      26215     381376     1.011   1.508e-02     7.541e-03   1.127e-03   1.570e-05   4.520e-03   2.540e-03   2.546e-03
NGVSJ12:28:00.44+11:56:59.6   R   17.128      26215     390468     1.353   2.603e-02     1.301e-02   1.034e-03   1.624e-05   3.909e-03   2.626e-03   2.633e-03
NGVSJ12:28:00.44+11:56:59.6   I   16.852      26215     409143     2.280   1.342e-01     6.709e-02   1.727e-03   6.494e-05   1.082e-02   1.046e-02   1.056e-02
NGVSJ12:28:00.44+11:56:59.6   Z   16.749      19027     349103     0.600   3.891e-01     1.946e-01   3.781e-03   1.459e-04   2.027e-02   1.994e-02   2.031e-02
NGVSJ12:28:03.74+12:46:41.2   U   22.018       3803      20458     0.221   5.894e-02     2.947e-02   2.894e-02   1.266e-03   8.277e-02   7.538e-02   8.101e-02
NGVSJ12:28:03.74+12:46:41.2   G   20.932       9901      20458     0.450   4.230e-02     2.115e-02   1.414e-02   5.391e-04   5.617e-02   5.236e-02   5.501e-02
NGVSJ12:28:03.74+12:46:41.2   R   20.476       8165      20458     0.031   7.421e-02     3.710e-02   1.370e-02   5.643e-04   5.275e-02   4.983e-02   5.223e-02
NGVSJ12:28:03.74+12:46:41.2   I   20.286       8165      20458     2.500   1.257e-01     6.283e-02   2.511e-02   8.022e-04   7.354e-02   7.017e-02   7.502e-02
NGVSJ12:28:03.74+12:46:41.2   Z   20.617       2603      20458     3.300   2.913e-01     1.456e-01   3.352e-02   1.424e-03   7.407e-02   7.032e-02   7.520e-02
NGVSJ12:28:04.79+11:36:16.5   U   20.611      14775     180155     0.289   2.158e-02     1.079e-02   1.665e-02   2.500e-04   3.362e-02   2.997e-02   3.082e-02
NGVSJ12:28:04.79+11:36:16.5   G   19.443      30633     171244     0.163   3.374e-02     1.687e-02   6.482e-03   1.919e-04   3.463e-02   3.308e-02   3.412e-02
NGVSJ12:28:04.79+11:36:16.5   R   18.933      30633     168886     0.136   6.818e-02     3.409e-02   6.535e-03   2.425e-04   4.295e-02   4.163e-02   4.329e-02
NGVSJ12:28:04.79+11:36:16.5   I   18.711      21275     173337     1.922   9.870e-02     4.935e-02   9.307e-03   2.384e-04   3.529e-02   3.423e-02   3.535e-02
NGVSJ12:28:04.79+11:36:16.5   Z   18.635      21275     179488    15.141   1.953e-01     9.764e-02   2.575e-02   4.398e-04   6.441e-02   6.233e-02   6.613e-02
NGVSJ12:28:05.92+12:50:15.5   U   21.338       7109      39634     0.280   2.178e-02     1.089e-02   1.978e-02   3.418e-04   3.514e-02   2.844e-02   2.921e-02
NGVSJ12:28:05.92+12:50:15.5   G   20.286       8587      38898     0.381   1.274e-02     6.372e-03   7.120e-03   8.343e-05   1.460e-02   7.704e-03   7.759e-03
NGVSJ12:28:05.92+12:50:15.5   R   19.718      18403      34020     0.754   5.913e-02     2.956e-02   9.952e-03   3.358e-04   4.655e-02   4.463e-02   4.654e-02
NGVSJ12:28:05.92+12:50:15.5   I   19.530      18403      37042     2.629   1.164e-01     5.820e-02   1.804e-02   5.560e-04   7.594e-02   7.293e-02   7.818e-02
NGVSJ12:28:05.92+12:50:15.5   Z   19.489       7109      29160     2.343   1.219e-01     6.093e-02   2.013e-02   3.484e-04   3.060e-02   2.898e-02   2.978e-02
NGVSJ12:28:06.53+12:53:53.3   U   17.382     100935    1655525     0.415   2.525e-02     1.262e-02   1.963e-03   3.906e-05   1.283e-02   1.234e-02   1.248e-02
NGVSJ12:28:06.53+12:53:53.3   G   16.241     100935    1507888     0.493   1.259e-02     6.295e-03   5.954e-04   6.810e-06   2.895e-03   2.161e-03   2.166e-03
NGVSJ12:28:06.53+12:53:53.3   R   15.649     149241    1546373     0.856   5.603e-02     2.802e-02   6.557e-04   2.136e-05   8.382e-03   8.222e-03   8.285e-03
NGVSJ12:28:06.53+12:53:53.3   I   15.419      73025    1640880     2.572   8.312e-02     4.156e-02   8.387e-04   1.794e-05   5.023e-03   4.836e-03   4.858e-03
NGVSJ12:28:06.53+12:53:53.3   Z   15.308      73025    1672268     2.268   1.871e-01     9.355e-02   1.340e-03   3.645e-05   9.929e-03   9.806e-03   9.895e-03
NGVSJ12:28:06.77+12:58:43.2   U   20.036      96121      96942     0.373   1.718e-02     8.588e-03   1.968e-02   2.988e-04   9.330e-02   8.891e-02   9.684e-02
NGVSJ12:28:06.77+12:58:43.2   G   19.032      44825      72767     0.739   1.250e-02     6.251e-03   5.085e-03   5.892e-05   1.428e-02   1.240e-02   1.255e-02
NGVSJ12:28:06.77+12:58:43.2   R   18.517      54249      80121     0.575   3.874e-02     1.937e-02   5.279e-03   1.250e-04   2.962e-02   2.873e-02   2.951e-02
NGVSJ12:28:06.77+12:58:43.2   I   18.241      44825     100621     2.418   2.290e-02     1.145e-02   8.508e-03   5.208e-05   1.204e-02   1.097e-02   1.108e-02
NGVSJ12:28:06.77+12:58:43.2   Z   18.107      30635     132309     2.004   1.537e-01     7.686e-02   1.040e-02   2.555e-04   4.495e-02   4.382e-02   4.566e-02
NGVSJ12:28:07.90+12:24:07.9   U   22.761       1315      52347     0.231   2.583e-02     1.291e-02   3.032e-02   6.466e-04   4.527e-02   2.320e-02   2.370e-02
NGVSJ12:28:07.90+12:24:07.9   G   21.217       5647      49890     1.514   8.226e-03     4.113e-03   1.336e-02   1.029e-04   2.053e-02   7.708e-03   7.763e-03
NGVSJ12:28:07.90+12:24:07.9   R   20.743       8125      49623     0.809   2.944e-02     1.472e-02   1.586e-02   2.855e-04   2.994e-02   2.544e-02   2.605e-02
NGVSJ12:28:07.90+12:24:07.9   I   20.616       3923      50773     0.669   6.860e-02     3.430e-02   2.148e-02   4.114e-04   2.953e-02   2.547e-02   2.608e-02
NGVSJ12:28:07.90+12:24:07.9   Z   20.550       5647      52546    18.800   4.217e-01     2.108e-01   6.594e-02   2.855e-03   2.150e-01   1.958e-01   2.390e-01
NGVSJ12:28:08.61+12:05:35.8   U   15.229     616477     515307     0.580   1.972e-02     9.862e-03   7.530e-04   1.038e-05   8.240e-03   8.120e-03   8.181e-03
NGVSJ12:28:08.61+12:05:35.8   G   13.918     509471     433585     1.705   5.323e-02     2.662e-02   1.814e-04   7.614e-06   5.475e-03   5.421e-03   5.448e-03
NGVSJ12:28:08.61+12:05:35.8   R   13.316     400689     481464     1.320   8.603e-02     4.301e-02   1.360e-04   6.268e-06   3.999e-03   3.960e-03   3.975e-03
NGVSJ12:28:08.61+12:05:35.8   I   12.832    1598953     472424     1.900   1.017e-01     5.087e-02   3.544e-04   9.483e-06   1.200e-02   1.193e-02   1.206e-02
NGVSJ12:28:08.61+12:05:35.8   Z   12.751     310911     495826    -2.000   8.492e-01     4.246e-01   4.120e-04   3.239e-05   1.806e-02   1.791e-02   1.821e-02
NGVSJ12:28:10.07+12:43:29.4   U   19.612     225735     387212     0.073   2.250e-02     1.125e-02   2.042e-02   4.060e-04   1.931e-01   1.775e-01   2.124e-01
NGVSJ12:28:10.07+12:43:29.4   G   18.506     330505     381198    -0.110   1.709e-02     8.544e-03   7.716e-03   1.347e-04   7.763e-02   7.480e-02   8.034e-02
NGVSJ12:28:10.07+12:43:29.4   R   18.406     186527     386185     0.480   3.367e-02     1.684e-02   7.674e-03   1.819e-04   7.872e-02   7.584e-02   8.153e-02
NGVSJ12:28:10.07+12:43:29.4   I   18.276     186527     386432    -0.200   1.013e-01     5.067e-02   1.500e-02   4.856e-04   2.098e-01   1.918e-01   2.330e-01
NGVSJ12:28:10.07+12:43:29.4   Z   18.089     154175     374589     1.150   1.406e-01     7.030e-02   2.374e-02   5.155e-04   2.025e-01   1.856e-01   2.240e-01
NGVSJ12:28:10.28+12:48:32.2   U   19.612      43043     139096     0.282   1.247e-02     6.234e-03   9.682e-03   9.823e-05   2.231e-02   2.019e-02   2.057e-02
NGVSJ12:28:10.28+12:48:32.2   G   18.740      92253     150570     0.385   2.480e-02     1.240e-02   5.533e-03   1.281e-04   3.938e-02   3.823e-02   3.962e-02
NGVSJ12:28:10.28+12:48:32.2   R   18.163      76261     144576     0.513   2.073e-02     1.036e-02   4.568e-03   5.723e-05   1.648e-02   1.569e-02   1.592e-02
NGVSJ12:28:10.28+12:48:32.2   I   18.145      52075     133194     2.334   9.523e-02     4.761e-02   8.395e-03   2.137e-04   4.898e-02   4.770e-02   4.989e-02
NGVSJ12:28:10.28+12:48:32.2   Z   17.941      43043     166530     2.162   1.151e-01     5.757e-02   1.105e-02   1.947e-04   4.060e-02   3.965e-02   4.115e-02
NGVSJ12:28:12.24+11:58:13.3   U   20.421      36167      98991     0.530   6.906e-02     3.453e-02   2.070e-02   1.051e-03   2.003e-01   1.834e-01   2.208e-01
NGVSJ12:28:12.24+11:58:13.3   G   19.273      36167      98989     0.975   1.268e-02     6.339e-03   6.134e-03   6.701e-05   1.492e-02   1.267e-02   1.282e-02
NGVSJ12:28:12.24+11:58:13.3   R   18.279      77571      95264     0.770   1.148e-02     5.742e-03   5.252e-03   3.559e-05   1.106e-02   9.866e-03   9.957e-03
NGVSJ12:28:12.24+11:58:13.3   I   18.502      52985      98977     1.850   3.723e-02     1.861e-02   1.139e-02   1.171e-04   2.749e-02   2.662e-02   2.729e-02
NGVSJ12:28:12.24+11:58:13.3   Z   18.548      16875      95975    -0.300   4.254e-01     2.127e-01   1.999e-02   7.876e-04   1.025e-01   9.777e-02   1.075e-01
NGVSJ12:28:12.60+12:45:33.9   U   22.875       3203      46237     0.209   1.043e-02     5.216e-03   5.275e-02   4.527e-04   4.818e-02   2.532e-02   2.593e-02
NGVSJ12:28:12.60+12:45:33.9   G   21.962       4635      43704     0.331   3.216e-02     1.608e-02   2.358e-02   7.241e-04   5.611e-02   4.821e-02   5.045e-02
NGVSJ12:28:12.60+12:45:33.9   R   21.582       2239      43726     0.040   3.122e-02     1.561e-02   1.773e-02   3.443e-04   2.778e-02   1.617e-02   1.642e-02
NGVSJ12:28:12.60+12:45:33.9   I   21.635       1551      45267     2.368   1.563e-01     7.814e-02   3.540e-02   1.506e-03   6.365e-02   5.776e-02   6.101e-02
NGVSJ12:28:12.60+12:45:33.9   Z   21.221       1551      45440     2.548   7.254e-02     3.627e-02   4.257e-02   4.775e-04   2.677e-02   1.864e-02   1.897e-02
NGVSJ12:28:12.81+13:00:54.0   U   19.879      48151     207174     0.304   2.331e-03     1.165e-03   1.165e-02   2.484e-05   1.163e-02   5.437e-03   5.464e-03
NGVSJ12:28:12.81+13:00:54.0   G   18.882      19333     188801     0.774   1.493e-02     7.467e-03   2.893e-03   4.025e-05   8.569e-03   5.583e-03   5.612e-03
NGVSJ12:28:12.81+13:00:54.0   R   18.415      19333     192280     0.594   3.008e-02     1.504e-02   2.816e-03   5.274e-05   9.009e-03   7.309e-03   7.358e-03
NGVSJ12:28:12.81+13:00:54.0   I   18.198      19333     197425     2.033   6.264e-02     3.132e-02   5.312e-03   8.992e-05   1.337e-02   1.243e-02   1.258e-02
NGVSJ12:28:12.81+13:00:54.0   Z   18.277      19333     193893     1.758   9.472e-02     4.736e-02   9.491e-03   1.463e-04   2.092e-02   2.015e-02   2.053e-02
NGVSJ12:28:12.86+12:54:56.5   U   24.489        141      21291     0.375   1.531e-02     7.657e-03   5.238e-02   6.166e-04   8.612e-02   7.297e-03   7.346e-03
NGVSJ12:28:12.86+12:54:56.5   G   22.252      11445      36847     0.473   5.061e-02     2.530e-02   4.902e-02   2.339e-03   2.521e-01   2.252e-01   2.844e-01
